time,raw_bytes,CHECKSUM,CHECKSUM_recalculated,CHECKSUM_ok,all_checksums_ok,ANGLE,RATE,RATE_SIGN,COUNTER,RATE_ALT
0.0,08 10 00 87 CA 00 20,12,12,True,True,206.4,0,1,10,0
0.01,08 10 00 07 5B 00 20,5,5,True,True,206.4,0,0,11,0
0.02,08 10 00 87 AC 00 20,10,10,True,True,206.4,0,1,12,0
0.03,08 10 00 87 BD 00 20,11,11,True,True,206.4,0,1,13,0
0.04,08 10 00 07 0E 00 20,0,0,True,True,206.4,0,0,14,0
0.05,08 10 00 87 9F 00 20,9,9,True,True,206.4,0,1,15,0
0.06,08 10 00 07 E0 00 20,14,14,True,True,206.4,0,0,0,0
0.07,08 10 00 87 71 00 20,7,7,True,True,206.4,0,1,1,0
0.08,08 10 00 07 C2 00 20,12,12,True,True,206.4,0,0,2,0
0.09,08 10 00 07 D3 00 20,13,13,True,True,206.4,0,0,3,0
0.1,08 10 00 87 24 00 20,2,2,True,True,206.4,0,1,4,0
0.11,08 10 00 87 35 00 20,3,3,True,True,206.4,0,1,5,0
0.12,08 10 00 07 86 00 20,8,8,True,True,206.4,0,0,6,0
0.13,08 10 00 07 97 00 20,9,9,True,True,206.4,0,0,7,0
0.14,08 10 00 07 68 00 20,6,6,True,True,206.4,0,0,8,0
0.15,08 10 00 07 79 00 20,7,7,True,True,206.4,0,0,9,0
0.16,08 10 00 07 4A 00 20,4,4,True,True,206.4,0,0,10,0
0.17,08 10 00 07 5B 00 20,5,5,True,True,206.4,0,0,11,0
0.18,08 10 00 07 2C 00 20,2,2,True,True,206.4,0,0,12,0
0.19,08 10 00 07 3D 00 20,3,3,True,True,206.4,0,0,13,0
0.2,08 10 00 07 0E 00 20,0,0,True,True,206.4,0,0,14,0
0.21,08 10 00 07 1F 00 20,1,1,True,True,206.4,0,0,15,0
0.22,08 10 00 07 E0 00 20,14,14,True,True,206.4,0,0,0,0
0.231,08 10 00 07 F1 00 20,15,15,True,True,206.4,0,0,1,0
0.24,08 10 01 07 D2 01 20,13,13,True,True,206.4,1,0,2,1
0.25,08 10 00 07 D3 00 20,13,13,True,True,206.4,0,0,3,0
0.26,08 10 00 07 A4 00 20,10,10,True,True,206.4,0,0,4,0
0.271,08 10 00 07 B5 00 20,11,11,True,True,206.4,0,0,5,0
0.28,08 10 00 07 86 00 20,8,8,True,True,206.4,0,0,6,0
0.29,08 10 01 07 87 01 20,8,8,True,True,206.4,1,0,7,1
0.3,08 10 00 07 68 00 20,6,6,True,True,206.4,0,0,8,0
0.31,08 10 00 07 79 00 20,7,7,True,True,206.4,0,0,9,0
0.32,08 10 00 07 4A 00 20,4,4,True,True,206.4,0,0,10,0
0.33,08 10 00 07 5B 00 20,5,5,True,True,206.4,0,0,11,0
0.34,08 10 00 07 2C 00 20,2,2,True,True,206.4,0,0,12,0
0.35,08 10 00 07 3D 00 20,3,3,True,True,206.4,0,0,13,0
0.36,08 10 00 07 0E 00 20,0,0,True,True,206.4,0,0,14,0
0.37,08 10 00 07 1F 00 20,1,1,True,True,206.4,0,0,15,0
0.38,08 10 00 07 E0 00 20,14,14,True,True,206.4,0,0,0,0
0.391,08 10 00 07 F1 00 20,15,15,True,True,206.4,0,0,1,0
0.4,08 10 00 07 C2 00 20,12,12,True,True,206.4,0,0,2,0
0.41,08 10 00 07 D3 00 20,13,13,True,True,206.4,0,0,3,0
0.42,08 10 00 07 A4 00 20,10,10,True,True,206.4,0,0,4,0
0.43,08 10 00 07 B5 00 20,11,11,True,True,206.4,0,0,5,0
0.44,08 10 00 07 86 00 20,8,8,True,True,206.4,0,0,6,0
0.451,08 10 00 07 97 00 20,9,9,True,True,206.4,0,0,7,0
0.46,08 10 00 07 68 00 20,6,6,True,True,206.4,0,0,8,0
0.47,08 10 00 07 79 00 20,7,7,True,True,206.4,0,0,9,0
0.48,08 10 00 07 4A 00 20,4,4,True,True,206.4,0,0,10,0
0.49,08 10 00 07 5B 00 20,5,5,True,True,206.4,0,0,11,0
0.5,08 10 00 07 2C 00 20,2,2,True,True,206.4,0,0,12,0
0.51,08 10 00 07 3D 00 20,3,3,True,True,206.4,0,0,13,0
0.52,08 10 00 07 0E 00 20,0,0,True,True,206.4,0,0,14,0
0.53,08 10 00 07 1F 00 20,1,1,True,True,206.4,0,0,15,0
0.54,08 10 00 07 E0 00 20,14,14,True,True,206.4,0,0,0,0
0.55,08 10 00 07 F1 00 20,15,15,True,True,206.4,0,0,1,0
0.56,08 10 00 07 C2 00 20,12,12,True,True,206.4,0,0,2,0
0.57,08 10 00 07 D3 00 20,13,13,True,True,206.4,0,0,3,0
0.58,08 10 00 07 A4 00 20,10,10,True,True,206.4,0,0,4,0
0.59,08 10 00 07 B5 00 20,11,11,True,True,206.4,0,0,5,0
0.6,08 10 00 07 86 00 20,8,8,True,True,206.4,0,0,6,0
0.611,08 10 00 07 97 00 20,9,9,True,True,206.4,0,0,7,0
0.62,08 10 00 07 68 00 20,6,6,True,True,206.4,0,0,8,0
0.63,08 10 00 07 79 00 20,7,7,True,True,206.4,0,0,9,0
0.64,08 10 00 07 4A 00 20,4,4,True,True,206.4,0,0,10,0
0.65,08 10 00 07 5B 00 20,5,5,True,True,206.4,0,0,11,0
0.66,08 10 00 07 2C 00 20,2,2,True,True,206.4,0,0,12,0
0.67,08 10 00 07 3D 00 20,3,3,True,True,206.4,0,0,13,0
0.68,08 10 00 07 0E 00 20,0,0,True,True,206.4,0,0,14,0
0.69,08 10 00 07 1F 00 20,1,1,True,True,206.4,0,0,15,0
0.7,08 10 00 07 E0 00 20,14,14,True,True,206.4,0,0,0,0
0.71,08 10 00 07 F1 00 20,15,15,True,True,206.4,0,0,1,0
0.721,08 11 00 07 D2 00 20,13,13,True,True,206.5,0,0,2,0
0.73,08 12 03 07 C3 03 20,12,12,True,True,206.60000000000002,3,0,3,3
0.74,08 12 00 07 84 00 20,8,8,True,True,206.60000000000002,0,0,4,0
0.75,08 12 00 07 95 00 20,9,9,True,True,206.60000000000002,0,0,5,0
0.761,08 12 00 07 A6 00 20,10,10,True,True,206.60000000000002,0,0,6,0
0.771,08 12 00 07 B7 00 20,11,11,True,True,206.60000000000002,0,0,7,0
0.78,08 12 00 07 48 00 20,4,4,True,True,206.60000000000002,0,0,8,0
0.79,08 12 00 07 59 00 20,5,5,True,True,206.60000000000002,0,0,9,0
0.8,08 12 00 07 6A 00 20,6,6,True,True,206.60000000000002,0,0,10,0
0.81,08 12 00 07 7B 00 20,7,7,True,True,206.60000000000002,0,0,11,0
0.82,08 12 00 07 0C 00 20,0,0,True,True,206.60000000000002,0,0,12,0
0.83,08 12 00 07 1D 00 20,1,1,True,True,206.60000000000002,0,0,13,0
0.84,08 12 00 07 2E 00 20,2,2,True,True,206.60000000000002,0,0,14,0
0.85,08 12 00 07 3F 00 20,3,3,True,True,206.60000000000002,0,0,15,0
0.86,08 12 00 07 C0 00 20,12,12,True,True,206.60000000000002,0,0,0,0
