time,raw_bytes,P299_Com_bCrCtlInhib,P299_Com_bCrCtlInhib_recalculated,P299_Com_bCrCtlInhib_ok,all_checksums_ok,P337_Com_stPrkBrk
0.0,00 00 00 00 80 C1 00 AE,0,0,True,True,0
0.034,00 00 00 00 80 C1 00 BD,0,0,True,True,0
0.034,00 00 00 00 80 81 00 C0,0,0,True,True,0
0.053,00 00 00 00 80 31 00 D4,0,0,True,True,0
0.074,00 00 00 00 80 81 00 EE,0,0,True,True,0
0.094,00 00 00 00 80 81 00 FD,0,0,True,True,0
0.113,00 00 00 00 80 91 00 0B,0,0,True,True,0
0.134,00 00 00 00 80 31 00 10,0,0,True,True,0
0.153,00 00 00 00 80 81 00 2A,0,0,True,True,0
0.174,00 00 00 00 80 E1 00 33,0,0,True,True,0
0.194,00 00 00 00 80 C1 00 44,0,0,True,True,0
0.213,00 00 00 00 80 31 00 5C,0,0,True,True,0
0.234,00 00 00 00 80 51 00 69,0,0,True,True,0
0.253,00 00 00 00 80 B1 00 72,0,0,True,True,0
0.274,00 00 00 00 80 81 00 84,0,0,True,True,0
0.294,00 00 00 00 80 31 00 98,0,0,True,True,0
0.313,00 00 00 00 80 41 00 A6,0,0,True,True,0
0.334,00 00 00 00 80 E1 00 BB,0,0,True,True,0
0.354,00 00 00 00 80 C1 00 CC,0,0,True,True,0
0.373,00 00 00 00 80 51 00 D2,0,0,True,True,0
0.394,00 00 00 00 80 51 00 E1,0,0,True,True,0
0.414,00 00 00 00 80 B1 00 FA,0,0,True,True,0
0.434,00 00 00 00 80 E1 00 06,0,0,True,True,0
0.454,00 00 00 00 80 81 00 1B,0,0,True,True,0
0.473,00 00 00 00 80 51 00 2D,0,0,True,True,0
0.494,00 00 00 00 80 E1 00 33,0,0,True,True,0
0.514,00 00 00 00 80 E1 00 42,0,0,True,True,0
0.534,00 00 00 00 80 C1 00 53,0,0,True,True,0
0.553,00 00 00 00 80 71 00 67,0,0,True,True,0
0.574,00 00 00 00 80 B1 00 72,0,0,True,True,0
0.594,00 00 00 00 81 01 00 8B,0,0,True,True,0
0.614,00 00 00 00 80 E1 00 9D,0,0,True,True,0
0.634,00 00 00 00 80 51 00 A5,0,0,True,True,0
0.654,00 00 00 00 80 71 00 B2,0,0,True,True,0
0.673,00 00 00 00 80 E1 00 CA,0,0,True,True,0
0.694,00 00 00 00 80 B1 00 DC,0,0,True,True,0
0.714,00 00 00 00 80 41 00 E2,0,0,True,True,0
0.734,00 00 00 00 80 81 00 FD,0,0,True,True,0
0.754,00 00 00 00 81 01 00 03,0,0,True,True,0
0.774,00 00 00 00 81 01 00 12,0,0,True,True,0
0.793,00 00 00 00 80 81 00 2A,0,0,True,True,0
0.813,00 00 00 00 80 71 00 3A,0,0,True,True,0
0.834,00 00 00 00 81 01 00 4F,0,0,True,True,0
0.853,00 00 00 00 80 C1 00 53,0,0,True,True,0
0.874,00 00 00 00 80 71 00 67,0,0,True,True,0
0.894,00 00 00 00 80 81 00 75,0,0,True,True,0
0.914,00 00 00 00 81 01 00 8B,0,0,True,True,0
0.933,00 00 00 00 80 91 00 92,0,0,True,True,0
0.954,00 00 00 00 80 81 00 A2,0,0,True,True,0
0.974,00 00 00 00 80 71 00 B2,0,0,True,True,0
0.994,00 00 00 00 80 81 00 C0,0,0,True,True,0
1.013,00 00 00 00 80 B1 00 DC,0,0,True,True,0
1.033,00 00 00 00 80 B1 00 EB,0,0,True,True,0
1.053,00 00 00 00 80 71 00 FE,0,0,True,True,0
1.074,00 00 00 00 80 B1 00 09,0,0,True,True,0
1.093,00 00 00 00 81 21 00 10,0,0,True,True,0
1.114,00 00 00 00 80 B1 00 27,0,0,True,True,0
1.134,00 00 00 00 80 31 00 3E,0,0,True,True,0
1.153,00 00 00 00 80 81 00 48,0,0,True,True,0
1.174,00 00 00 00 81 31 00 5B,0,0,True,True,0
1.194,00 00 00 00 80 C1 00 62,0,0,True,True,0
1.213,00 00 00 00 80 51 00 78,0,0,True,True,0
1.234,00 00 00 00 80 71 00 85,0,0,True,True,0
1.253,00 00 00 00 81 01 00 9A,0,0,True,True,0
1.273,00 00 00 00 80 F1 00 AB,0,0,True,True,0
1.294,00 00 00 00 80 51 00 B4,0,0,True,True,0
1.313,00 00 00 00 80 31 00 C5,0,0,True,True,0
1.334,00 00 00 00 80 B1 00 DC,0,0,True,True,0
1.353,00 00 00 00 80 F1 00 E7,0,0,True,True,0
1.374,00 00 00 00 80 B1 00 FA,0,0,True,True,0
1.394,00 00 00 00 80 71 00 0D,0,0,True,True,0
1.413,00 00 00 00 81 01 00 12,0,0,True,True,0
1.434,00 00 00 00 80 C1 00 26,0,0,True,True,0
1.453,00 00 00 00 80 B1 00 36,0,0,True,True,0
1.474,00 00 00 00 80 71 00 49,0,0,True,True,0
1.493,00 00 00 00 80 E1 00 51,0,0,True,True,0
1.513,00 00 00 00 80 F1 00 6F,0,0,True,True,0
